Paragraph,Labels
A rigid body is a body with a perfectly definite and unchanging shape. The distances between all pairs of particles of such a body do not change.,Definition
"Centre of Mass. For a system of particles, the centre of mass is defined as that point where the entire mass of the system is imagined to be concentrated, for consideration of its translational motion. If all the external forces acting on the body/system of bodies were to be applied at the centre of mass, the state of rest/ motion of the body/system of bodies shall remain unaffected.",Definition
The centre of mass of a body or a system is its balancing point. The centre of mass of a two- particle system always lies on the line joining the two particles and is somewhere in between the particles.,Property
"Motion of centre of Mass. The centre of mass of a system of particles moves as if the entire mass of the system were concentrated at the centre of mass and all the external forces were applied at that point. Velocity of centre of mass of a system of two particles, m1 and m2 with velocity v1 and v2 is given by",Property
"If no external force acts on the body, then the centre of mass will have constant momentum. Its velocity is constant and acceleration is zero, i.e., MVcm = constant.","Property, Formula"
"Torque. Torque is the moment of force. Torque acting on a particle is defined as the product of the magnitude of the force acting on the particle and the perpendicular distance of the application of force from the axis of rotation of the particle.
",Definition 
"Angular Momentum. The angular momentum (or moment of momentum) about an axis of rotation is a vector quantity, whose magnitude is equal to the product of the magnitude of momentum and the perpendicular distance of the line of action of momentum from the axis of rotation and its direction is perpendicular to the plane containing the momentum and the perpendicular distance.",Definition 
"Axis of Rotation. A rigid body is said to be rotating if every point mass that makes it up, describes a circular path of a different radius but the same angular speed. The circular paths of all the point masses have a common centre. A line passing through this common centre is the axis of rotation. A rigid body is said to be in equilibrium if under the action of forces/torques, the body remains in its position of rest or of uniform motion.For translational equilibrium, the vector sum of all the forces acting on a body must be zero. For rotational equilibrium, the vector sum of torques of all the forces acting on that body about the reference point must be zero. For complete equilibrium, both these conditions must be fulfilled.",Definition 
"Couple. Two equal and opposite forces acting on a body but having different lines of action, form a couple. The net force due to a couple is zero, but they exert a torque and produce rotational motion.",Definition
Moment of Inertia.The rotational inertia of a rigid body is referred to as its moment of inertia. The moment of inertia of a body about an axis is defined as the sum of the products of the masses of the particles constituting the body and the square of their respective perpendicular distance from the axis.It is given by,Definition
"Radius of Gyration. The distance of a point in a body from the axis of rotation, at which if whole of the mass of the body were supposed to be concentrated, its moment of inertia about the axis of rotation would be the same as that determined by the actual distribution of mass of the body is called radius of gyration. If we consider that the whole mass of the body is concentrated at a distance K from the axis of rotation, then moment of inertia I can be expressed as I = MK2","Definition, Formula"
"Theorem of Parallel Axes. According to this theorem, the moment of inertia I of a body about any axis is equal to its moment of inertia about a parallel axis through centre of mass, Icm, plus Ma2 where M is the mass of the body and V is the perpendicular distance between the axes, i.e., I = Icm + Ma2\","Definition, Formula"
"Theorem of Perpendicular Axes. According to this theorem, the moment of inertia I of the body about a perpendicular axis is equal to the sum of moments of inertia of the body about two axes at right angles to each other in the plane of the body and intersecting at a point where the perpendicular axis passes, i.e.,",Definition
Rolling Motion. The combination of rotational motion and the translational motion of a rigid body is known as rolling motion.,Definiton 
"Law of Conservation of Angular Momentum. According to the law of conservation of angular momentum, if there is no external couple acting, the total angular momentum of a rigid body or a system of particles is conserved.",Definition
Rigid body is a body with a perfectly definite and unchanging shape. The distances between all pairs of particles of such a body do not change.,Definition 
In pure translational motion at any instant of time all particles of the body have the same velocity.,Property
"In rotation of a rigid body about a fixed axis, every particle of the body moves in a circle, which lies in a plane perpendicular to the axis and has its centre on the axis.",Property
The motion of a rigid body which is not pivoted or fixed in some way is either a pure translation or a combination of translation and rotation. The motion of a rigid body which is pivoted or fixed in some way is rotation.,Property
"Center of mass. Imaginary point where the whole mass of system can be assumed to be concentrated. The centre of mass of two bodies lies in a straight line. (Here m1 & m2 are two bodies such that m1 is at a distance x1 from O, & m2 at a distance x2 from O. )",Definition 
"The coordinates of centre of mass of a body is given by (X,Y,Z)",Property
Motion of COM. The centre of mass of a system of particles moves as if all the mass of the system was concentrated at the centre of mass and all the external forces were applied at that point.,Property
"We can obtain the translational component of their motion, i.e. the motion COM of the system, by taking the mass of the whole system to be concentrated at the COM and all the external forces on the system to be acting at the centre of mass.",Property
"When a bomb explodes in a parabolic path, different fragment goes in different path with complex trajectories, but COM continues to travel in the same parabolic path.",Property
"Linear Momentum of System of Particles. The total momentum of a system of particles is equal to the product of the total mass of the system and the velocity of its COM. P = p1 + p2 + …. + pn = m1v1 + m2v2 + …. + mnvn , P = MV . Where pi = momentum of ith particle , P = momentum of system of particles , V = velocity of COM","Property, Formula"
"Newton’s Second Law extended to system of particles: dP/dt = Fext . When the total external force acting on a system of particles is zero (Fext = 0), the total linear momentum of the system is constant (dP/dt = 0 => P = constant). Also the velocity of the centre of mass remains constant (Since P = mv = Constant ).",Property
"If the total external force on a body is zero, then internal forces can cause complex trajectories of individual particles but the COM moves with a constant velocity.
",Property
Angular velocity & its relation with linear velocity. Every particle of a rotating body moves in a circle. Angular displacement of a given particle about its centre in unit time is defined as angular velocity.,Definition 
"Average angular velocity = ΔΘ/Δt. Instantaneous angular velocity, ω = dΘ / dt. v = w r , where v – linear velocity of particle moving in a circle of radius r. All parts of a moving body have the same angular velocity in pure rotation motion. Angular velocity, ω, is a vector quantity. If you curl your fingers of right hand in the sense of rotation, thumb will give direction of angular velocity.",Definition 
v = ω x r. ANGULAR ACCELERATION is given by rate of change of angular velocity with respect to time. α = dω / dt,"Formula, Defintion"
Torque & Angular Momentum. The rotational analogue of force is moment of force (Torque). If a force acts on a single particle at a point P whose position with respect to the origin O is given by the position vector r the moment of the force acting on the particle with respect to the origin O is defined as the vector product t = r × F =  rF sinΘ,"Formula, Defintion"
"Torque is vector quantity. The moment of a force vanishes if either. The magnitude of the force is zero, or The line of action of the force (r sinΘ) passes through the axis.",Property
The quantity angular momentum is the rotational analogue of linear momentum. It could also be referred to as moment of (linear) momentum. l = r × p,"Formula, Property"
Rotational analogue of Newton’s second law for the translational motion of a single particle:  dl/st = τ. Torque and angular momentum of system of particles: The total angular momentum of a system of particles about a given point is addition of the angular momenta of individual particles added vectorially.,"Property, Formula"
Similarly for total torque on a system of particles is addition of the torque on an individual particle added vectorially.,Property
"The torque resulting from internal forces is zero , due to Newton’s third law i.e. these forces are equal and opposite. These forces act on the line joining any two particles.The time rate of the total angular momentum of a system of particles about a point is equal to the sum of the external torques acting on the system taken about the same point.",Property
"Conservation of Angular Momentum. if the total external torque on a system of particles is zero, then the total angular momentum of the system is conserved
If text = 0 , then dL/dt = 0  =>  L = constant",Definition 
"Equilibrium of Rigid Body. A force changes the translational state of the motion of the rigid body, i.e. it changes its total linear momentum. A torque changes the rotational state of motion of the rigid body, i.e. it changes the total angular momentum of the body.",Property
"A rigid body is said to be in mechanical equilibrium, if both its linear momentum and angular momentum are not changing with time. This means
Total force should be zero => Translational Equilibrium
Total torque should be zero => Rotational Equilibrium",Definition 
A pair of equal and opposite forces with different lines of action is known as a couple or torque. A couple produces rotation without translation.,Definition 
"When you open the lid of a jar , you apply couple on it",Examples
An ideal lever is essentially a light rod pivoted at a point along its length. This point is called the fulcrum. The lever is a system in mechanical equilibrium.,Examples
Mechanical advantage greater than one means that a small effort can be used to lift a large load.,Definition 
Centre of Gravity.The centre of gravity of a body is that point where the total gravitational torque on the body is zero.,Definition 
"The centre of gravity of the body coincides with the centre of mass in uniform gravity or gravity-free space.If g varies from part to part of the body, then the centre of gravity and centre of mass will not coincide.
 ",Property
Moment of Inertia. Moment of inertia (I) is analogue of mass in rotational motion.,Property
Moment of inertia about a given axis of rotation resists a change in its rotational motion; it can be regarded as a measure of rotational inertia of the body. It is a measure of the way in which different parts of the body are distributed at different distances from the axis.,Definition 
"the moment of inertia of a rigid body depends on. The mass of the body, Its shape and size. Distribution of mass about the axis of rotation. The position and orientation of the axis of rotation.",Property
"The radius of gyration of a body about an axis may be defined as the distance from the axis of a mass point whose mass is equal to the mass of the whole body and whose moment of inertia is equal to the moment of inertia of the body about the axis.
I = M k2, where k is radius of gyration.",Definition 
Theorem of perpendicular axis. Perpendicular Axis Theorem: The moment of inertia of a planar body (lamina) about an axis perpendicular to its plane is equal to the sum of its moments of inertia about two perpendicular axes concurrent with perpendicular axis and lying in the plane of the body. Applicable only to planar bodies.,Definition 
Theorem of parallel axis. Parallel Axis Theorem: The moment of inertia of a body about any axis is equal to the sum of the moment of inertia of the body about a parallel axis passing through its centre of mass and the product of its mass and the square of the distance between the two parallel axes. This theorem is applicable to a body of any shape.,Definition 
Kinematics of Rotational Motion about a Fixed Axis. We can derive equation of motion similar to translational motion.,Property
"Dynamics of Rotational Motion about a Fixed Axis.Only those components of torques, which are along the direction of the fixed axis, need to be considered because the component of the torque perpendicular to the axis of rotation will tend to turn the axis from its position. This means .We need to consider only those forces that lie in planes perpendicular to the axis. Forces which are parallel to the axis will give torques perpendicular to the axis.We need to consider only those components of the position vectors which are perpendicular to the axis. Components of position vectors along the axis will result in torques perpendicular to the axis",Property
"Angular Momentum In Case of Rotation about a Fixed Axis. Example: When a person is rotating with hands stretched, so the moment of inertia will be more because distribution of mass is far from the axis of rotation.
As the person brings his arms close to body, moment of inertia decreases because the mass is now distributed close to axis. In this situation no external torque is applied, means angular momentum is conserved. Iω = constant. As I decrease, angular velocity ω
","Property, Examples"
"Rolling motion. Rolling motion is a combination of rotation and translation. All the particles on a rolling body have two kinds of velocity.Translational, which is velocity of COM. Linear velocity on account of rotational motion.
",Definition 
Uniform Circular Motion:-Circular motion is said to the uniform if the speed of the particle (along the circular path) remains constant.,Definition
Angular Velocity:  Relation between linear velocity (v) and angular velocity (ω): Scalar form:- v = rω Vector form:- Angular Acceleration:- ,"Definition, Formula"
"Relation between linear acceleration (a) and angular acceleration (α):- Tangential Acceleration and Centripetal AccelerationScalar form:- a= rα Vector form:- Here, tangential component, Radial component, ","Property, Formula"
"Relation betweenlinear acceleration (a), angular velocity (ω) and linear velocity (v):- a=v2/r = ω2/r. Equations of rotational kinematics:- (a)  Angular velocity after a time t second:- ω=ω0+αt.  (b) Angular displacement after t second:- θ = ω0t + ½ αt2.   (c) Angular velocity after a certain rotation:- ω2 – ω02 = 2αθ.  (d) Angle traversed in ‘nth’ second:- θnth = ω0 +α/2 (2n-1)",Formula
Time period:- It is the time taken by the particle to complete one rotation. T= 2π/ω,"Definition, Formula"
"Frequency:- The number of rotations made by the particle per second is called  the frequency of rotation. If f is the frequency, the particle describes 2πf radians per second. ω = 2πf. So, f = 1/T","Definition, Formula"
"Centripetal force:- The force, acting along the radius towards the center, which is essential to keep the body moving in a circle with uniform speed is called centripetal force. It acts always along the radius towards the center. A centripetal force does no work. F = mv2/r = mrω2","Definition, Formula"
"Centrifugal force:- Centrifugal force is the fictitious force which acts on a body, rotating with uniform velocity in a circle, along the radius away from the center. Magnitude of centrifugal force is, F = mv2/r. ","Definition, Formula"
Centripetal and centrifugal forces are equal in magnitude and opposite in direction. They cannot be termed as action and reaction since action and reaction never act on same body.,Property
"Banking of Roads:- Road offering no frictional resistance, θ = tan-1 (v2/rg). Road offering frictional resistance, vmax = √rg(µ+tanθ/1-µtanθ). ","Property, Formula"
"Bending of Cyclist:- θ = tan-1 (v2/rg). (a) Velocity of the cyclist:- Greater the velocity, greater is his angle of inclination with the vertical. (b) Radius of curvature:- Smaller the radius, greater is the angle with the vertical.","Property, Formula"
Time period of conical pendulum:-T = 2π √lcosθ/g,Formula
"Motion in a vertical circle/looping the loop:- The minimum velocity of the body, at the lowest point, required to take the body round a vertical circle is √5gr. So, v = √5gr.The minimum tension in the string, at the lowest point, required to take the body around the vertical circle is equal to six times the weight of the body. So, T1= 6 mg. (a) For lowest point A and highest point B, TA – TB = 6 mg. VA2 = VB2+4gl. VA≥√5gl. VB≥√gl. (b) Condition for oscillation:- VA?√2gl. (c)  Condition for leaving circular path:- √2gl< VA?√5gl","Formula, Reasoning"
"Non-uniform circular motion:- (a) The velocity changes both in magnitude as well as in direction. (b)  The velocity vector is always tangential to the path. (c) The acceleration vector is not perpendicular to the velocity vector. (d)  The acceleration vector has two components. (i) Tangential acceleration at changes the magnitude of velocity vector and is defined as, at = dv/dt. (ii) Normal acceleration or centripetal acceleration ac changes the direction of the velocity vector and is defined as,ac = v2/r. (iii) The total acceleration is the vector sum of the tangential and centripetal acceleration. So, a = √at2+ac2","Definition, Property, Formula"
Rotational Motion. Rigid Body:- A rigid body consists of a number of particles confined to a fixed geometrical shape and size in such a way that the distance between any pair of particles always remains constant.,Definition
"Moment of Inertia (Rotational Inertia) I:- Moment of Inertiaof a body, about a given axis, is defined as the sum of the products of the masses of different particles constituting the body and the square of their distances from the axis of rotation. It depends upon two factors, (i) Mass of body (ii) Distribution of mass about the axis of rotation (iii) Moment of inertia of a body should always be referred to as about a given axis, since it depends upon distribution of mass about that axis. (iv) It does not depend upon the state of motion of rotating body. It is same whether the body is at rest, rotating slowly or rotating fast about the given axis. I = ∑mr2","Definition, Property, Formula"
"Rotational Kinetic Energy:- Kr = ½Iω2 = ½ mr2ω2. So, I = 2Kr/ω2",Formula
"Radius Gyration:- Radius of gyration of a body about a given axis is that distance, at which if whole of the mass of the body were concentrated, it would have same moment of inertia as that of body. I = MK2. So, K = √I/M. Again, Radius of gyration of a body about a given axis is defined as the square root of the mean of the squares of distances of various particles of the body from the axis of rotation. So, K = √[r12+ r22+ r32+…./n]","Definition, Formula"
Center of mass for two particle system Center of Mass (a) xCM=(m1x1+ m2x2)/(m1+ m2). (b)  vCM = (m1v1+ m2v2)/(m1+ m2). (c)   aCM = (m1a1+ m2a2)/(m1+  m2). (d) vCM = dxCM/dt. (e) aCM = dvCM/dt = d2xCM/dt2,Formula
System of mass for many particle system:- xCM = ∑mixi / ∑mi,Formula
"Perpendicular axes theorem:- It states that the moment of inertia of a plane lamina, about an axis perpendicular to the plane lamina, is equal to the sum of the moments of inertia of the lamina about two mutually perpendicular axes lying in the plane of  lamina and intersecting each other at the point where the perpendicular axis passes through the body. I = Ix+Iy","Definition, Formula"
"Parallel axes theorem:-  Parallel Axis Theorem. It states that moment of inertia of a body, about an axis, is equal to the sum of the moment of inertia of the body about a parallel axis through its center of gravity and the product of the mass of body and the square of the distance between the two axes. I = Ig+Mh2 . Here, Ig is the moment of inertia of the body about an axis through its center of gravity G.","Definition, Formula"
Moment of inertia of a particle having mass m:- I = mr2. Moment of inertia  of a thin rod about an axis passing through its center and perpendicular to its length: I =Ml2/12. Moment of inertia of a ring about an axis passing through its center and perpendicular to its plane: (a) About one of its diameters:- Id = ½ (MR2). (b)About a tangent (i) Tangent lying in the plane of ring:-I = 3/2 (MR2). (ii)   Tangent perpendicular to the plan of ring:-I = 2MR2. Moment of inertia of a solid disc:- .(a) About an axis passing through its center and perpendicular to its plane:- I = ½ MR2. (b) About one of its diameters:- Id = ¼ (MR2). (c) About a tangent:- (i) Tangent lying in the plane of disc:-I = 5/4 (MR2). (ii) Tangent perpendicular to the plane of disc:- I = 3/2 (MR2). Moment of inertia of an annular disc:- (a) About an axis passing through the center and perpendicular to the plane:- (i) For a solid disc:- I = ½ MR2. (ii) For ring:- I = MR2. (b) About any of its diameter:- (i) For a solid disc:- Id = ¼ (MR2). (ii) For ring:- Id = ½ MR2 (c)  About a tangent:- (i) Tangent lying in the plane of disc:- (1)For a solid disc:-I = 5/4 MR2 (2)For a ring:-I = 3/2 MR2 (ii) Tangent perpendicular to the plane of the disc:-(1) For a solid disc:- I = 3/2 MR2. (2) For a Ring:- I = 2MR2,"Property, Examples"
Moment of inertia (I) and Torque (\tau?):-\tau? = Iα . Here α is the angular acceleration.,Property
"Newton’s law in rotational motion:- (a) First Law:- It states that everybody continues in its state of rest or of uniform rotational motion about a given axis unless it is    completed by some external unbalanced torque to change that state. (b) Second Law:- It states that the rate of change of angular momentum of a body is directly proportional to the impressed torque and takes place in the direction of torque. Mathematically, \tau = Iα.(c) Third Law:- It states that to every torque there is an equal and opposite torque.",Definition
"Law of conservation of angular momentum:- The net angular momentum of an isolated system (no external torque), always remains constant. I1ω1=I2ω2","Definition, Formula"
"Motion of a point mass attached to a string would over a cylinder capable of rotating about its axis of symmetry:- Tension, T = mg/[1+(mR2/I)]","Property, Formula"
"Motion of a body rolling down an inclined plane without slipping:- The maximum allowed angle for rolling without slipping. (a) A cylinder rolling down the plane, θmax = tan-1(3µ). (b) A sphere rolling down the inclined plane, θmax = tan-1[7/2 (µ)]. (c) A ring rolling down the inclined plane, θmax = tan-1(2µ) Here µ is the coefficient of sliding friction.","Examples, Formula"
Rotational work done:-  W =τ?θ =τavθ,Formula
"Kepler’s Laws of Planetary Motion. Johannes Kepler formulated three laws which describe planetary motion. They are as follows: (i) Law of orbits. Each planet revolves around the sun in an elliptical orbit with the n at one of the foci of the ellipse. (ii) Law of areas. The speed of planet varies in such a way that the radius, vector drawn from the sun to planet sweeps out equal areas in equal times.",Definition
Newton’s Law of Gravitation Newton’s law of gravitation states that every particle in the universe attracts every other particle with a force directly proportional to the product of their masses and inversely proportional to the square of the distance between them. The direction of the force is along the line joining the particles.,Definition
"Universal constant of gravitation G is numerically equal to the force of attraction between two particles of unit mass each separated by unit distance. • Important Characteristics of Gravitational Force (i)  Gravitational force between two bodies is a central force i.e., it acts along the line joining the centres of the two interacting bodies. (ii) Gravitational force between two bodies is independent of the nature of the intervening medium. (iii) Gravitational force between two bodies does not depend upon the presence of other bodies. (iv) It is valid for point objects and spherically symmetrical objects. (v) Magnitude of force is extremely small.",Property
"Acceleration Due to Gravity. The acceleration produced in a body on account of the force of gravity is known as acceleration due to gravity. It is usually denoted by ‘g’. It is always towards the centre of Earth. If a body of mass ‘m’ lying on the surface of the earth, the gravitational force acting on the body is given by",Definition
"Variation of Acceleration Due to Gravity. The value of acceleration due to gravity changes with height (i.e., altitude), depth, shape of the earth and rotation of earth about its own axis. (a) Effect of Altitude. As one goes above the surface of Earth, value of acceleration due to gravity gradually goes on decreasing. If gh be the value of acceleration due to gravity at a height h from the surface of Earth, then
",Property
Gravitational Field. The space around a body within which its gravitational force of attraction is experienced by other bodies is called gravitational field.,Definition
"Intensity of Gravitational Field. The intensity of the gravitational field of a body at a point in the field is defined as the force experienced by a body of unit mass placed at that point provided the presence of unit mass does not disturb the original gravitational field.
",Definition
"Gravitational Potential.The gravitational potential at a point in the gravitational field of a body is defined as the amount of work done in bringing a body of unit mass from infinity to that point. Gravitational potential at a point situated at a distance r from a body or particle of mass M is given by
",Definition
"Gravitational Potential Energy. The work done in carrying a mass ‘m’ from infinity to a point at distance r is called gravitational potential energy. The gravitational potential energy of the system is given by gravitation-cbse-notes-for-class-11-physics-12 i.e., Gravitational potential energy = gravitational potential x mass of the body. It is a scalar quantity and measured in joule.",Definition
Escape Velocity. The minimum velocity required to project a body vertically upward from the surface of earth so that it comes out of the gravitational field of earth is called escape velocity.,Definition
Satellite. A satellite is a body which is revolving continuously in an orbit around a comparatively much larger body. The orbit may be either circular or elliptical. A man-made object revolving in an orbit around a planet is called an artificial satellite.,Definition
Orbital Velocity. Orbital velocity of a satellite is the minimum velocity required to put the satellite into a given orbit around earth.,Definition
"Geostationary Satellite. The satellite having the same time period of revolution as that of the earth is called geostationary satellite. Such satellites should rotate in the equatorial plane from west to east. The orbit of a geostationary satellite is called ‘parking orbit’. These satellites are used for communication purposes.A geostationary satellite revolves around the earth in a circular orbit at a height of about 36,000 km from the surface of earth.",Definition
Kepler’s first law (law of elliptical orbit):- A planet moves round the sun in an elliptical orbit with sun situated at one of its foci.,Definition
Kepler’s second law (law of areal velocities):- A planet moves round the sun in such a way that its areal velocity is constant.,Definition
Kepler’s third law (law of time period):- A planet moves round the sun in such a way that the square of its period is proportional to the cube of semi major axis of its elliptical orbit.Keplers Law of Planetary Motion. T2 ∝ R3. Here R is the radius of orbit. T2 = (4π2/GM)R 3,Definition
"Newton’s law of gravitation:- Every particle of matter in this universe attracts every other particle with a forcer which varies directly as the product of masses of two particles and inversely as the square of the distance between them. F= GMm/r2. Here, G is universal gravitational constant. G = 6.67 ´10 -11 Nm2 / kg2","Definition, Formula"
"Dimensional formula of G: G = Fr2/Mm =[MLT-2][L2]/[M2] = [M-1L3T-2]. Acceleration due to gravity (g):- g = GM/R2.  Variation of g with altitude:- g' = g(1- 2h/R),  if h<<R. Here R is the radius of earth and h is the height of the body above the surface of earth. Variation of g with depth:- g' = g(1- d/R). Here g' be the value of acceleration due to gravity at the depth d. Variation with latitude:- At poles:- θ = 90°, g' = g. At equator:- θ = 0°, g' = g (1-ω2R/g). Here ω is the angular velocity. As g = GMe/Re2 , therefore gpole > gequator. Gravitational Mass:- m = FR2/GM
",Formula
Gravitational field intensity:- E = F/m = GM/r2. Weight:- W= mg,Formula
"Gravitational intensity on the surface of earth (Es):- Es = 4/3 (πRρG). Here R is the radius of earth, ρ is the density of earth and G is the gravitational constant.
",Formula
"Gravitational potential energy (U):- U = -GMm/r. (a) Two particles: U = -Gm1m2/r.  (b) hree particles: U = -Gm1m2/r12 – Gm1m3/r13 – Gm2m3/r23
",Formula
"Gravitational potential (V):- V(r) =  -GM/r . At surface of earth, Vs=  -GM/R. Here R is the radius of earth.",Formula
"Escape velocity (ve):- It is defined as the least velocity with which a body must be projected vertically upward in order that it may just escape the gravitational pull of earth. ve = √2GM/R  or, ve = √2gR = √gD. Here R is the radius of earth and D is the diameter of the earth","Defintion, Formula"
"Escape velocity (ve) in terms of earth’s density:- ve = R√8πGρ/3. Orbital velocity (v0):- v0 = √GM/r. If a satellite  of mass m revolves in a circular orbit around the earth of radius R and h be the height of the satellite above the surface of the earth, then, r = R+h. So, v0 = √MG/R+h = R√g/R+h. In the case of satellite, orbiting very close to the surface of earth, then orbital velocity will be, v0 = √gR . Relation between escape velocity ve and orbital velocity v0 :- v0= ve/√2  (if h<<R)",Formula
"Time period of Satellite:- Time period of a satellite is the time taken by the satellite to complete one revolution around the earth. T = 2π√(R+h)3/GM = (2π/R)√(R+h)3/g. If h<<R, T = 2π√R/g. Height of satellite:- h = [gR2T2/4π2]1/3 – R. Energy of satellite:- Kinetic energy, K = ½ mv02 = ½ (GMm/r). Potential energy, U = - GMm/r. Total energy, E = K+U = ½ (GMm/r) + (- GMm/r) = -½ (GMm/r)
","Definition, Formula"
Gravitational force in terms of potential energy:- F = – (dU/dR). Acceleration on moon:- gm = GMm/Rm2 = 1/6 gearth . Here Mm is the mass of moon and Rm is the radius of moon.,Formula
"Projectile:- Projectile fired at angle α  with the horizontal:- If a particle having initial speed u is projected at an angle α (angle of projection) with x-axis, then, Time of Ascent, t = (u sinα)/g. Total time of Flight, T = (2u sinα)/g. Horizontal Range, R = u2sin2α/g. Maximum Height, H = u2sin2α/2g. Equation of trajectory, y = xtanα-(gx2/2u2cos2α). Instantaneous velocity, V=√(u2+g2t2-2ugt sinα) and β = tan-1(usinα-gt/ucosα). Projectile fired horizontally from a certain height:- Equation of trajectory: x2 = (2u2/g)y. Time of descent (timer taken by the projectile to come down to the surface of earth), T = √2h/g. Horizontal Range, H = u√2h/g. Here u is the initial velocity of the body in horizontal direction. Instantaneous velocity:- V=√u2+g2t2 If β be the angle which V makes with the horizontal, then, β = tan-1(-gt/u). Projectile fired at angle α with the vertical:- Time of Ascent, t = (u cosα)/g. Total time of Flight, T = (2u cosα)/g. Horizontal Range, R = u2sin2α/g. Maximum Height, H = u2cos2α/2g. Equation of trajectory, y = x cotα-(gx2/2u2sin2α). Instantaneous velocity, V=√(u2+g2t2-2ugt cosα) and β = tan-1(ucosα-gt/usinα). Projectile fired from the base of an inclined plane:- Horizontal Range, R = 2u2 cos(α+β) sinβ/gcos2α. Time of flight, T = 2u sinβ/ gcosα. Here, α+β=θ
","Formula, Reasoning"
"Newton’s Law: Newton went on to discover the law of gravitation. According to Universal law of gravitation, the force between two bodies is directly proportional to their masses and inversely proportional to a square of the distance. Mathematically it can be represented as follows: F∝m1m2r2⇒F=Gm1m2r2 where, F is the gravitational force between two bodies m1 is the mass of one object m2 is the mass of the second object r is the distance between the centers of two objects","Definition, Formula"
