Paragraph,Labels
Magnetic Flux The magnetic flux linked with any surface is equal to total number of magnetic lines of force passing normally through it. It is a scalar quantity.,Definition
The phenomenon of generation of current or emf by changing the magnetic flux is known as Electromagnetic Induction EMI).,Definition
"Faraday’s Law of Electromagnetic Induction. First Law Whenever magnetic flux linked with the closed loop or circuit changes, an emf induces in the loop or circuit which lasts so long as change in flux continuous.
Second Law The induced emf in a closed loop or circuit is directly proportional to the rate of change of magnetic flux linked with the closed loop or circuitwhere, N = number of turns in loop. Negative sign indicates the Lenz’s law.",Definition
Lenz’s Law The direction of induced emf or induced current is such that it always opposes the cause that produce it. NOTE: Lenz’s law is a consequence of the law of conservation of energy.,Definition
"If N is the number of turns and R is the resistance of a coil. The magnetic flux linked with its each turn changes by dФ in short time interval dt, then induced current flowing through the coil is",Property
"The potential difference induced in a conductor of length l moving with velocity v, in a direction perpendicular to magnetic field B is given by",Property
"Fleming’s Right Hand Rule If the thumb, forefinger and middle finger of right hand are stretched mutually perpendicular to each other such that the forefinger points the direction of magnetic field, thumb points towards the direction of magnetic force, then middle finger points towards the direction of induced current in the conductor.
",Definition
"The induced emf developed between two ends of conductor of length l rotating about one end with angular velocity ω in a direction perpendicular to magnetic field is given by,",Property
"The induced emf can be produced in a coil by (i) putting the coil/loop/circuit in varying magnetic field. (ii) changing the area A of the coil inside the magnetic field, (iii) changing the angle 0 between B and A.",Property
"The phenomenon in which electric current is generated by varying magnetic fields is appropriately called electromagnetic induction. Electromagnetic induction is very cost-effective. Wireless charging phenomenon is possible due to electromagnetic induction. Electromagnetic Induction name suggests it is related with electricity,magnetism and induction. Induction means to induce something or to generate something. Therefore electromagnetic induction means induction of electric current due to magnetic field.",Definition
"Pan getting heated up without burning the paper. Heat which is getting transferred is due to induced current. More the amount of current induced, more is the amount of heat dissipated.By Changing the orientation of coil wrt the magnetic fields able to induced current in generators or motorsEddy current acting on the wheel of the trainTorch not using cell: It has solenoid where current can be induced by the change in magnetic field as there is a magnet inside it",Examples
"Magnetic flux is defined as the product of the average magnetic field times the perpendicular area it penetrates. In case of magnetic flux orientation of the area vector is considered. Area vector is considered as the amount of lines crossing an area also varies with the orientation of the area. It is a scalar quantity. Magnetic flux is denoted by ΦB or Φ. I Unit- Weber (Wb). Where 1Wb= 1Tesla x 1m2 (S.I. unit of B = Tesla and Area=m2) G.S unit-Maxwell (Mx).Relationship between Weber and Maxwell is;1Wb=108Mx Mathematically: ΦB = A B=magnetic field vector, A= area vector Area vector =In case of magnetic flux the amount of lines crossing an area varies with the orientation of the area. ΦB = BA cos θ Where θ=angle between magnetic field and area vector. Direction of area vector is determined by the normal to the area vector.","Definition, Formula"
"Case 1: When the angle between the area vector and the magnetic field (θ)= 900.Therefore, ΦB = 0 as cos900 =0.","Property, Formula"
"Case 2: When the angle between the area vector and the magnetic field (θ)= 00. Therefore,ΦB = BA as cos 0=1.","Property, Formula"
Faraday’s Experiment 1. One of the scientists Faraday performed series of experiments and based on the results he gave law on induction. He introduced the phenomenon of electromagnetic induction. Induction means to induce or to generate something. Electromagnetic Induction means production of electric current due to magnetic field. Magnetic field is capable of producing current in a conductor. Faraday took a coil and attached a galvanometer to it. As there is no battery attached therefore there is no source of current. He brought the magnet near the coil. When the magnet is moved towards the coil galvanometer showed deflection. Galvanometer even showed the deflection in the opposite direction when the magnet is taken away from the coil. When magnet was not moved there was no deflection in the galvanometer. This show current is related to magnet. Faster the magnet is moved the more is the deflection in the galvanometer.This showed more and more current flows if the magnet is moved very fast. Same effect was observed if the coil is moved and the magnet was not moved. Observation:- Relative motion between magnet and coil induced electric current in the coil.,"Definition, Reasoning "
"Faraday’s Experiment 2. Faraday took a coil but instead of taking magnet he took another coil which was connected to the battery. When the coil attached with battery was brought nearanothercoil,the galvanometer showed the deflection. The same phenomenon repeated even when there was no magnet. This shows current flowing in one coil was able to induce current in another coil. Observation:- Relative motion between coils induces the electric current.","Definition, Reasoning"
"Faraday’s Experiment 3. In this experiment he wanted to prove whether the relative motion between the 2 coils is essential for the induction of current. In this case he took a coil, one more coil attached with a battery.
When the circuit was open there was no current flowing through the coil. But as soon as the circuit was switched on there was deflection in the galvanometer. When the circuit was on continuously for longer period of time there was no current. When the circuit is switched off there was a deflection in the galvanometer in the opposite direction. And if the circuit is switched off for long time there was no deflection in the galvanometer.
He observed that the galvanometer showed momentarily deflection only when the system was undergoing a change. Observation:- Relative motion is not an absolute requirement for inducing current. There was induced current only when there is change in the system. Based on these 3 experiments Faraday gave 3 laws of Induction.","Definition, Reasoning "
"Faraday’s laws of Induction. First law: -According to the first law an emf is induced in the circuit whenever the amount of magnetic flux linked with a circuit changes. Current was induced because of magnetic flux, as there is some current in the circuit therefore there will be some emf flowing in the circuit. Whenever the amount of magnetic flux linked with the circuit changes only at that time emf is induced. The induced emf will be there till there is change in the flux. When the magnet was moved then only there was change in the flux. As the magnet is moving the number of magnetic lines crossing the area is also changing. There is a change in the flux therefore there is induced emf. If the magnet is not moving, there will be no change in the amount of magnetic flux so there is no induced current.
 ",Definition
Second law: - According to the second law the magnitude of the induced emf in a circuit is equal to the time rate of change of magnetic flux through the circuit. Emf which is induced will depend upon rate at which the magnetic flux is changing. Mathematically:-  Let Φ1 = flux at initial time t=0. Φ2 = flux after time t. Rate of change of flux=(Φ2 – Φ1)/t =dΦ/dt. According to Faraday’s law:- Induced emf e ∝ (dΦ/dt) Experimentally the constant of proportionality was found to be 1 in all cases. Therefore e=(dΦ/dt). Consider a coil which has N number of turns;Therefore e = N(dΦ/dt),"Definition, Formula"
"Lenz’s law. According to Lenz’s law:-The polarity of the induced emf is such that it tends to produce induced current in such a direction that it opposes the change in magnetic flux that produced it. The (-) ive sign in given equatione= (-) (dΦ/dt)tells about the direction.According to Faraday’s law whenever there is change in the magnetic flux, emf is induced, as aresult there will be induced current. According to Lenz’s law the direction of the induced current will be such that it opposes the change in the magnetic flux. For example:- Consider a circuit where the magnetic flux is increasing, as a result flux will change and which induces the emf in the circuit, and as a result current will be induced in the circuit. The direction of the induced current will be such that it will oppose the cause which induced it. The induced current will be in such a direction that it decreases the magnetic flux. Note: - The induced current will try to oppose the change which is producing it. For example:- Consider a setup which has a coil, a magnet and a galvanometer. If the north pole of the magnet is brought near the coil, there will be a deflection in the galvanometer because of induced current. The direction of the induced current will be such that it opposes the motion of the magnet towards coil. Induced current will move the magnet away from the coil. As the north polarity of the magnet is brought near the coil as a result the induced current will be in such a direction that the face of the coil will have north polarity.The current will flow in the anti-clockwise direction. If the South Pole of the magnet was nearer to the coil then the current will flow in clockwise direction.","Definition, Examples"
Lenz’s law: supports Conservation of energy. Lenz’s law obeys conservation of energy. Magnet is moving as a result current is getting induced and when the magnet is not moving there is no induced current in the coil.There is a mechanical energy involved with the movement of the as magnet as a result mechanical energy is converted into electrical energy which is produced by the induced current. Magnetic energy used in moving magnet is getting transformed into electrical energy which is produced by the induced current. This shows that Lenz’s law supports conservation of energy where one form of energy is getting transformed into another form. Work done in moving the magnet is dissipated by Joule heating produced by the induced current.,Property
Direction of Induced current: Lenz law. Induced current opposes CHANGE in flux. Example1: - Consider a region where magnetic field is acting in downward direction. Let magnetic field be 20T and it gets converted to 10T in the downward direction. As the magnetic field is changing therefore there is change in the flux which is equal to the decrease in the flux. As there is change in the flux there will be induced current. Flux of the induced current will try to oppose the decrease in the flux. Therefore the direction of induced flux will also be in the downward direction. Applying Fleming’s Right hand Thumb rule the direction of current will be given in the clockwise direction.,Property
"Example2:- Consider a magnetic field of 20T in the upward direction.If the magnetic flux is reduced to 10T in the downward direction. Both magnitude and the direction are changing. As flux is changing therefore there will be induced current. The direction of the induced flux will be in the opposite direction. i.e. upward direction. The induced flux will oppose the change which is the downward direction. The direction of the current will be in the anticlockwise direction. Example3:- Consider a region having downward magnetic field and there is a rectangular loop which is entering the region of magnetic field. As a result flux increases, the induced flux will oppose the increase in the flux.i.e. it will decrease the flux. Therefore induced flux will be in the upward direction. As a result the induced current will be in the anti-clockwise direction. Example4:- Consider a region having magnetic field in the downward direction and a rectangular loop which is coming out of the magnetic field with some velocity v. As it is coming out therefore flux is decreasing, current will be induced because of change in flux. Induced flux will try to oppose the change i.e. it will try to increase the flux. Induced flux is in the downward direction as a result the direction of current will be clock wise.","Examples, Reasoning "
"Direction of Induced current: Fleming’s right hand rule. According to Fleming’s right hand rule if we stretch 3 fingers of our right hand, then the :- Thumb will point to the motion of the conductor. First Finger points towards the magnetic field. Middle finger points to direction of the induced current.",Definition
"Methods of producing Induced Emf in a circuit:Varying Magnetic Field (B). Consider a coil, a magnet and a galvanometer. As the magnet is brought near the coil,the magnetic field associated with the coil changes. Mathematically, Φ = BAcosθ if we change the strength of the magnetic field(B), the value of flux will change as a result emf is induced. When the magnet is brought near the coil, magnetic field changes. When the magnet passes through the coil the is a deflection in the galvanometer.","Reasoning, Formula"
"If the area within the magnetic field changes, then emf will be induced. The rectangular loop enters the magnetic field and goes out of the field. Initially there is no magnetic field from where the loop is starting, the moment the loop enters the magnetic field it experiences the change in the magnetic field at the boundary. When the loop was inside the magnetic field there was no change in the magnetic flux. But when the loop leaves the region of magnetic field there was decrease in the magnetic flux. Because when it leaves the magnetic field area keeps on decreasing. As area decreases therefore flux also decreases. At both the boundaries there is change in the area,as a result there is change in the flux. Therefore there will be induced current at the boundary.",Reasoning
"Mathematically:- The emf which is induced is known as Motional emf because this emf is induced due to the motion of the conductors. Consider a conductor is moving out of the magnetic field with some velocity ‘v’. The part which is inside the field =’X’ and length of the conductor=’length’. In time Δt, loop covers small distance Δx. Decrease in the area =-(length Δx), Where (-) ive sign shows decrease in area. Decrease in flux = dΦ =B.ΔA =-BlengthΔx where ΔA=change in area. Therefore from Faraday’s Lenz’s law, Induced emf e= -(dΦ/dt) =d/dt(BlengthΔx) => Blength (Δx/Δt) . Therefore Motional Emfe= Blengthv where (velocity) v= Δx/Δt
Induced current =I=(e/R) =(Blengthv/R) where R=resistance of the loop. Motional Emf comes into play when the area of the loop within the magnetic field changes.",Formula
"Methods of producing Induced Emf in a circuit: Varying Area (A) in a moving rod. Consider a rod which is moving inside the magnetic field. When the loop enters the magnetic field; due to the magnetic fieldthe charges inside the rod experiences the magnetic force. Because of this magnetic force the (+) ive and (-) ive charges separate out from each other, i.e. all the (+)ive charges get accumulated at one end and (-)ive charges on the other end. Electrostatic potential is developed on the rod due to the accumulation of charges on both the ends of the rod when it enters the magnetic field. Because of electrostatic potential an emf is induced. This emf which was induced on the rod cannot be used for any practical purposes. As it is an open circuit therefore induced emf on the rod cannot be used. This induced emf is known as Motional Emf as it is generated because of motion of the rod inside the magnetic field. Expression for motional emfe= Blengthv Example: Flight. At the tips of both the wings of the aeroplane emf is induced. As it is not a closed loop so this emf cannot be used.",Reasoning
Methods of producing Induced Emf in a circuit: Varying Area (A) in a closed loop(with movable piston). Consider a closed loop such that one arm of the loop acts as a movable piston. The loop is present inside a magnetic field. The movement of piston will cause a change in area of the loop. As there is change in area as aresult there is change in flux because of which there is induced emf.,Reasoning
"Methods of producing Induced Emf in a circuit: Varying angle between magnetic field and area vector (θ). By changing the orientation of coil and magnetic field i.e. θ emf can be induced in the circuit. Consider Φ = BA cosθ if θ is changed then the value of Φ will also change.For Example:- Electric generator-In case of electric generator there are rectangular coils and they are placed between the poles of the electromagnet.When it is rotated then the orientation of the area vector of the coil and magnetic field is changing. As θ is changing from 0 to 900,900 to 1800, 1800 to 2700 and 2700 to 3600. As a result there is change in flux and as a result emf is induced in the generator which in turn induces current in the generator.",Reasoning
Eddy currents. Eddy currents are induced currents in the body of conductor when subjected to changing magnetic flux.They are also known as Foucault current after the name of the scientist Foucault. They are known as eddy currents as they are in the pattern of eddiesin the water. Consider an electromagnet when attached to battery because of the current magnetic field will be produced which will induce current in the metallic plate. The current will be in the form of eddies. The metallic plate will be slightly drifted in the air because of eddy currents. Mathematically :- i=(induced emf)/(Resistance of the conductor) = (e/R) e= -(dΦ/dt) Therefore i=-(dΦ/dt)/R The magnitude and direction will be same as the induced current in the case of electromagnet induction.,"Definition, Formula"
