Paragraph,Labels
"Sources Of Light :

Any object that gives out light is called a source of light. Luminous objects are also called sources of light. Sources of light can be natural or artificial (man-made) ","Definition, Property"
"Examples of natural sources of light are ‘he sun and other stairs and insects like the firefly. Some artificial sources of light are candle, electric bulb, and laser.",Examples
"Materials that allow light to pass through significant scattering or absorption [Fig. 13.2(a)] are called transparent materials. We will be able to see through these materials very clearly. Examples of transparent materials are clear air, clear glass, clean water, some kinds of plastic, and cellophane paper.","Definition, Property, Examples"
"Materials that allow light to pass through them, but scatter or diffuse the light as it passes through, i.e., a parallel beam of light comes through in all directions are called translucent materials [Fig. 13.2(b)], That is why an object cannot be seen clearly through a translucent material. Examples of translucent materials are butter paper, a frosted glass, paper smeared with oil, and smoked glass.","Definition, Property, Examples"
"Materials that completely block light are called opaque materials [Fig. 13.2(c)]. We will not be able to see through these materials at all. Examples of an opaque materials are metal, mud, cement, coal, and wood. A mirror is a very good example of opaque material. An ideal mirror does not let any light pass through it","Definition, Property, Examples"
"Propagation Of Light :Usually light travels in a straight line. When we want to represent the propagation of light with a diagram, we represent it with the help of rays and beams.","Definition, Property"
"The property of light to travel in straight lines explains many interesting phenomena related to light, like formation of shadows by opaque objects and formation of images in a pin-hole camera.",Property
"Shadows :

An opaque object blocks the light falling on it. This creates an area of darkness on the side of the object away from the source of light. A translucent object also creates a faint area of darkness. An area of darkness formed by an opaque object obstructing light is called a shadow.","Definition, Property"
"The following three things are required for a shadow to form : a source of light
• an opaque object
• a screen or irface behind the object.",Types
"A shadow will not form if any of these is absent. This explains why we cannot see a shadow in the dark. It is only when light rays are obstructed by an opaque object that we get a shadow of the object.
Let us perform an activity to learn about the characteristics of a shadow.",Reasoning
"Characteristics of a Shadow:
A shadow has the following three characteristics:
1. It is always black, regardless of the colour of the object used to make the shadow
2. It only shows the shape or outline of the object and not the details.
3. The size of a shadow varies depending on the distance between the object and the source of light, and the distance between the object and the screen.",Property
"Reflection Surfaces :
We say light is reflected when it bounces off a surface. Reflection of light helps us to see most of the things around us.
Reflection of light by a surface depends on the nature of the surface. A rough and bumpy surface (also called an irregular surface) reflects a parallel beam of light incident upon it in different directions (Fig.
13.5). A good example of a rough surface is bark of a tree and blanket. This kind of reflection is called diffused reflection.",":Property, Definition"
"A smooth surface (a highly polished surface) reflects a parallel beam of light incident upon it in one direction. (Fig. 13.6). A good example of a smooth surface is a mirror. When you stand in front of a mirror, you can see yourself in the mirror. This is called your image.","Property, Effects"
"A very interesting phenomenon occurs when an object forms an image by reflection. This is something all of us must have noticed while seeing ourselves in the mirror. When we lift our right hand, the image in the mirror appears to lift its left hand. This seeming left-right reversal is called lateral inversion",Reasoning
"A pin-hole camera is just a box (Fig. 13.7) with a very tiny hole on one of its sides. Light falls on the hole, and an inverted image is formed on the side opposite to the hole. The human eye acts very much like a pin-hole camera.","Property, Reasoning"
Life without electricity is difficult to imagine. Many devices and machines in our day-to-day life run on electricity.,Property
"Things that run on electricity have electric current passing through them. In this, chapter, you will learn about electric current, what is needed to produce it, the conditions required to make an electric current flow, and the materials through which current can flow. You will learn some very interesting things like how to make a small bulb glow and how to make an electric switch",Property
