Paragraph,Labels
"Production of Sound. Sound is produced due to the vibration of objects. Vibration is the rapid to and fro motion of an object. Vibrating objects are the source of all sounds Irregular, chaotic vibrations produce noise Regular, controlled vibration can produce music All sound is a combination of pure frequencies. A stretched rubber band when plucked vibrates and produces sound.","Causes, Definition"
" Propagation of Sound
When an object vibrates, the particles around the medium vibrate. The particle in contact with the vibrating object is first displaced from its equilibrium position",Definition
"The disturbance produced by the vibrating body travels through the medium but the particles do not move forward themselves.
A wave is a disturbance which moves through a medium by the vibration of the particles of the medium. So sound is considered as a wave.Sound waves Require medium for transmission.Sound waves are called mechanical waves.",Definition
"Sound waves are called mechanical waves. When a vibrating object moves forward, it pushes and compresses the air in front of it forming a region of high pressure called compression (C). When the vibrating object moves backward, it forms a region of low pressure called rarefaction (R).","Definition, Causes"
"A vibrating object producing a series of compressions (C) and rarefaction (R)
In these waves the particles move back and forth parallel to the direction of propagation of the disturbance. Such waves are called longitudinal waves.","Definition, Reasoning"
There is another kind of waves called transverse waves. In these waves the particles oscillate up and down perpendicular to the propagation of the direction of disturbance.,Definition
Sound propagates in a medium as a series of compressions (C) and rarefactions (R). Compressions are the regions of high pressure and density where the particles are crowded and are represented by the upper portion of the curve called crest. Rarefactions are the regions of low pressure and density where the particles are spread out and are represented by the lower portion of the curve called trough,"Causes, Definition"
Frequency of sound wave. The number of oscillations per unit time is called the frequency of the sound wave.,Definition
Amplitude of sound wave. The amplitude of sound wave is the height of the crest or trough. It is represented by the letter A. The SI unit is the same as that of density or pressure.,Definition
"Wavelength. The wavelength is the distance between the ""crests"" of two waves that are next to each other.",Definition
"Pitch and loudness of sound. The pitch of sound (shrillness or flatness) depends on the frequency of vibration. If the frequency is high, the sound has high pitch and if the frequency is low, the sound has low pitch.",Definition
"Speed of sound. The speed of sound is more in solids, less in liquids and least in gases. The speed of sound also depends on the temperature of the medium. If the temperature of the medium is more, the speed of sound is more","Definition, Property"
